Color Name,R,G,B
cloudy blue,172,194,217
dark pastel green,86,174,87
dust,178,153,110
electric lime,168,255,4
fresh green,105,216,79
light eggplant,137,69,133
nasty green,112,178,63
really light blue,212,255,255
tea,101,171,124
warm purple,149,46,143
yellowish tan,252,252,129
cement,165,163,145
dark grass green,56,128,4
dusty teal,76,144,133
grey teal,94,155,138
macaroni and cheese,239,180,53
pinkish tan,217,155,130
spruce,10,95,56
strong blue,12,6,247
toxic green,97,222,42
windows blue,55,120,191
blue blue,34,66,199
blue with a hint of purple,83,60,198
booger,155,167,38
bright sea green,5,255,166
dark green blue,31,99,87
deep turquoise,1,115,116
green teal,0,128,102
strong pink,255,7,137
bland,175,168,139
deep aqua,8,120,127
lavender pink,221,133,215
light moss green,166,200,117
light seafoam green,167,255,181
olive yellow,194,183,9
pig pink,231,142,165
deep lilac,150,110,189
desert,204,173,96
dusty lavender,172,134,168
purpley grey,148,126,148
purply,152,63,178
candy pink,255,99,233
light pastel green,178,251,165
boring green,99,179,101
kiwi green,142,229,63
light grey green,183,225,161
orange pink,255,111,82
tea green,189,248,163
very light brown,211,182,131
egg shell,255,252,196
eggplant purple,153,45,136
powder pink,255,178,208
reddish grey,153,117,112
baby shit brown,173,144,13
liliac,196,142,253
stormy blue,80,123,156
ugly brown,125,113,3
custard,255,253,120
darkish pink,218,70,125
deep brown,65,2,0
greenish beige,201,209,121
manilla,255,250,134
off blue,86,132,174
battleship grey,107,124,133
browny green,111,108,10
bruise,126,64,113
kelley green,0,147,55
sickly yellow,208,228,41
sunny yellow,255,249,23
azul,29,93,236
darkgreen,5,73,7
green/yellow,181,206,8
lichen,143,182,123
light light green,200,255,176
pale gold,253,222,108
sun yellow,255,223,34
tan green,169,190,112
burple,104,50,227
butterscotch,253,177,71
toupe,199,172,125
dark cream,255,243,154
indian red,133,14,4
light lavendar,239,192,254
poop brown,136,95,1
very light purple,246,206,252
